year,title,url,reviews,audience_score,tomatometer,synopsis,rating,genre,original_language,director,producer,writer,release_date_theaters,release_date_streaming,runtime,distributor,aspect_ratio,production_co,split_runtime_hours,split_runtime_mins,runtime_mins
2020,"Acasa, My Home",/m/acasa_my_home,40,80,100.0,A rural Romanian couple and their nine children must learn to live in the big city.,PG-13 (Thematic Material|Strong Language|Brief Violence),Documentary,Romanian,Radu Ciorniciuc,"Erkko Lyytinen, 



Monica Lazurean-Gorgan, 



Alina David",Richard Lowenstein,2021-01-15,2021-03-15,1h 26m,Zeitgeist Films,Scope (2.351),Pixar,1.0,26.0,86.0
2020,The Half of It,/m/the_half_of_it,102,81,97.0,"A shy, introverted student helps the school jock woo a girl whom, secretly, they both want.",PG-13 (Brief Language|Teen Drinking),"Comedy, 
                        
                        Lgbtq+, 
                        
                        Romance",English,Alice Wu,"Blair Breard, 



Anthony Bregman, 



Alice Wu",Alice Wu,2021-01-15,2020-05-02,1h 45m,Zeitgeist Films,Scope (2.351),Pixar,1.0,45.0,105.0
2020,The Painter and the Thief,/m/the_painter_and_the_thief,110,86,96.0,Czech artist Barbora Kysilkova develops an unlikely friendship with the man who stole two of her paintings.,PG-13 (Brief Language|Teen Drinking),Documentary,English,Benjamin Ree,Ingvil Giske,Alice Wu,2020-05-22,2020-05-22,1h 42m,Neon,Scope (2.351),Pixar,1.0,42.0,102.0
2020,City Hall,/m/city_hall_2020,64,64,98.0,Filmmaker Frederick Wiseman examines the rich history of Boston City Hall.,PG-13 (Brief Language|Teen Drinking),Documentary,English,Frederick Wiseman,Ingvil Giske,Alice Wu,2020-05-22,2020-05-22,4h 35m,Neon,Scope (2.351),Pixar,4.0,35.0,275.0
2020,Anything for Jackson,/m/anything_for_jackson,63,70,98.0,A sinister couple hatch a supernatural scheme to resurrect their dead grandson through a pregnant woman.,PG-13 (Brief Language|Teen Drinking),Horror,English,Justin G. Dyck,"Keith Cooper, 



Justin G. Dyck, 



Christopher Giroux, 



Bill Marks",Keith Cooper,2020-05-22,2020-12-03,1h 37m,Neon,Scope (2.351),Pixar,1.0,37.0,97.0
2020,Vitalina Varela,/m/vitalina_varela,62,59,98.0,A woman moves from Cape Verde to her deceased husband's shack on the outskirts of Lisbon.,PG-13 (Brief Language|Teen Drinking),Drama,Portuguese,Pedro Costa,Abel Ribeiro Chaves,"Pedro Costa, 



Vitalina Varela",2020-02-21,2020-09-18,2h 4m,Grasshopper Film,Scope (2.351),Pixar,2.0,4.0,124.0
2020,Beats,/m/beats_2020,62,77,98.0,In 1994 two Scottish friends head out for a final night of partying before they go their separate ways.,PG-13 (Brief Language|Teen Drinking),"Comedy, 
                        
                        Drama",English (United Kingdom),Brian Welsh,Camilla Bray,"Kieran Hurley, 



Brian Welsh",2020-02-21,2020-09-02,1h 41m,Grasshopper Film,Scope (2.351),Pixar,1.0,41.0,101.0
2020,Night of the Kings (La Nuit des Rois),/m/night_of_the_kings,104,57,96.0,"A young man is sent to ""La Maca,"" a prison in the middle of the Ivorian forest ruled by its inmates. As tradition goes with the rising of the red moon, he is designated by the Boss to be the new ""Roman"" and must tell a story to the other prisoners. Learning what fate awaits him, he begins to narrate the mystical life of the legendary outlaw named ""Zama King"" and has no choice but to make his story last until dawn.",R (Nudity|Language|Some Violent Material),Drama,French (France),Philippe Lacôte,"Delphine Jaquet, 



Ernest Konan, 



Yanick Létourneau",Philippe Lacôte,2021-02-26,2021-03-05,1h 33m,Neon,Scope (2.351),Pixar,1.0,33.0,93.0
2020,Bacurau (Nighthawk),/m/bacurau,167,84,93.0,,R (Nudity|Language|Some Violent Material),"Mystery & thriller, 
                        
                        Drama, 
                        
                        Fantasy",Portuguese (Brazil),"Kleber Mendonça Filho, 



Juliano Dornelles","Saïd Ben Saïd, 



Emilie Lesclaux, 



Michel Merkt","Juliano Dornelles, 



Kleber Mendonça Filho",2021-02-26,2020-05-12,2h 12m,Neon,Scope (2.351),Pixar,2.0,12.0,132.0
2020,Boys State,/m/boys_state,145,90,95.0,"A raucous journey into the heart of democracy captures an unusual rite of passage: 1,100 teenage boys from across Texas come together to build a representative government from the ground up.",PG-13 (Some Strong Language|Thematic Elements),Documentary,English,"Amanda McBaine, 



Jesse Moss","Jesse Moss, 



Amanda McBaine","Juliano Dornelles, 



Kleber Mendonça Filho",2020-07-31,2020-08-14,1h 49m,Neon,Scope (2.351),Pixar,1.0,49.0,109.0
2020,Circus of Books,/m/circus_of_books,59,80,98.0,"In 1976 a couple take over an adult book store, and the store becomes the biggest distributor of gay porn in the United States.",PG-13 (Some Strong Language|Thematic Elements),"Lgbtq+, 
                        
                        Biography, 
                        
                        Documentary",English,Rachel Mason,"Adam Baran, 



Cynthia Childs, 



Camilla Hall, 



Kathryn Robson","Kathryn Robson, 



Rachel Mason",2020-07-31,2020-04-22,1h 32m,Neon,Scope (2.351),Pixar,1.0,32.0,92.0
2020,Saint Maud,/m/saint_maud,185,64,93.0,"The debut film from writer-director Rose Glass, Saint Maud is a chilling and boldly original vision of faith, madness, and salvation in a fallen world. Maud, a newly devout hospice nurse, becomes obsessed with saving her dying patient's soul -- but sinister forces, and her own sinful past, threaten to put an end to her holy calling.",R (Language|Disturbing and Violent Content|Sexual Content),Horror,English,Rose Glass,"Oliver Kassman, 



Andrea Cornwell",Rose Glass,2021-01-29,2021-02-12,1h 24m,A24,Scope (2.351),Pixar,1.0,24.0,84.0
2020,"Why Don't You Just Die! (Papa, sdokhni)",/m/why_dont_you_just_die,76,84,97.0,,R (Language|Disturbing and Violent Content|Sexual Content),Horror,English,,"Oliver Kassman, 



Andrea Cornwell",Rose Glass,2021-01-29,2021-02-12,1h 24m,A24,Scope (2.351),Pixar,1.0,24.0,84.0
2020,Enola Holmes,/m/enola_holmes,204,70,91.0,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",PG-13 (Some Violence),"Mystery & thriller, 
                        
                        Action, 
                        
                        Adventure, 
                        
                        Crime",English,Harry Bradbeer,"Millie Bobby Brown, 



Paige Brown, 



Alex Garcia, 



Ali Mendes, 



Mary Parent",Nancy Springer,2021-01-29,2020-09-24,2h 3m,A24,Scope (2.351),Pixar,2.0,3.0,123.0
2020,Disclosure,/m/disclosure_2020_2,54,86,98.0,A look at Hollywood's depiction of transgender people and the impact of this on American culture.,PG-13 (Some Violence),Documentary,English,Sam Feder,"Sam Feder, 



Amy Scholder",Nancy Springer,2021-01-29,2020-06-19,1h 40m,A24,Scope (2.351),Pixar,1.0,40.0,100.0
